Id_bien;Type_bien ;No_voie;Type_de_voie;Voie;Code_type_de_voie;Code_voie;id_Commune
26093;Appartement;4;AV;EMELIE;1;427;9563
26094;Appartement;44;AV;FOCH;1;460;95582
26095;Maison;8;ALL;DE L ESCAPADE;2;417;9518
26096;Appartement;2;RUE;LEON PROTAIS;0;1220;95582
26097;Appartement;11;ALL;DES NYMPHEAS;2;1501;95306
26098;Appartement;101;ALL;DE CORMEILLES;2;580;95306
26099;Appartement;1;RUE;DU PLESSIS BOUCHARD;0;670;9563
26100;Appartement;110;RUE;DES COURLIS;0;1570;9518
26101;Appartement;4;AV;ARISTIDE MAILLOL;1;51;9518
26102;Appartement;50;QUAI;DU GENIE;24;625;95582
26103;Maison;79;AV;DES ADAGES;1;6;9518
26104;Appartement;1;CHE;DE MONTIGNY;5;920;9518
26105;Maison;56;CHE;DES GUILLERANDS;5;1010;9518
26106;Appartement;25;RUE;PASTEUR;0;4060;9563
26107;Appartement;5;RUE;ROBERT BRANCHARD;0;1750;95582
26108;Appartement;5;RUE;JULES VERNE;0;745;95582
26109;Maison;44;AV;DES ADAGES;1;6;9518
26110;Appartement;19;RUE;AUX PERLES;0;1106;95582
26111;Appartement;15;RUE;GUY PATIN;0;660;9563
26112;Appartement;1;RUE;J J ROUSSEAU;0;728;95176
26113;Appartement;35;RUE;JEAN MOULIN;0;2810;9563
26114;Appartement;1;RUE;DEFRESNE BAST;0;1670;9518
26115;Appartement;61;AV;STALINGRAD;1;4900;95176
26116;Maison;10;PL;DU BOIS COURLIS;12;86;9518
26117;Appartement;31;BD;KARL MARX;15;2930;95176
26118;Appartement;3;RUE;AUGUSTE RENOIR;0;54;95306
26119;Appartement;3;RUE;DES CHAMPIOUX;0;1140;9563
26120;Appartement;6;RUE;JOHN LENNON;0;557;9518
26121;Appartement;11;RUE;DU POIRIER FOURRIER;0;4310;95582
26122;Appartement;14;RUE;DE L ARCHE;0;30;95257
26123;Appartement;8;RUE;DE LA CROIX;0;310;95176
